"lako1"	"lako2"	"lako3"	"lako4"
"BMP8B"	1	1	0	2
"OXCT2"	0	0	3	1
"AL033527.3"	2	0	0	0
"LINC02811"	1	1	1	0
"TRIT1"	239	148	140	419
"MYCL"	175	78	99	291
"MFSD2A"	241	404	845	577
"CAP1"	1598	780	1366	2357
"PPT1"	896	590	630	1429
"RLF"	674	498	760	731
"TMCO2"	2	0	2	1
"AL050341.2"	133	100	63	145
"ZMPSTE24"	571	242	313	890
"COL9A2"	11	31	24	19
"SMAP2"	165	85	103	251
"ZFP69B"	13	4	2	20
"AL031985.3"	3	0	3	9
"ZFP69"	23	2	3	24
"AL603839.3"	6	4	7	20
"EXO5"	73	19	28	106
"ZNF684"	58	21	40	79
"RIMS3"	5	0	2	5
"NFYC-AS1"	13	22	24	37
"NFYC"	427	190	291	636
"KCNQ4"	0	2	1	0
"CITED4"	3317	908	1544	1768
"AC119677.1"	1	0	0	1
"CTPS1"	312	178	228	629
"SLFNL1-AS1"	2	7	2	9
"SCMH1"	211	173	182	346
"FOXO6"	63	42	28	48
"AC093151.2"	1	0	2	0
"EDN2"	240	332	44	98
"HIVEP3"	102	161	193	182
"FOXJ3"	295	225	233	485
"AC096540.1"	1	0	0	0
"RIMKLA"	7	6	9	8
"ZMYND12"	12	4	15	17
"PPCS"	1245	723	877	2131
"CCDC30"	56	27	26	76
"PPIH"	392	365	342	923
"AC098484.4"	13	2	3	8
"AC098484.2"	5	2	1	9
"YBX1"	11416	7046	8025	14868
"CLDN19"	1	0	6	0
"P3H1"	70	32	39	118
"C1orf50"	199	99	148	329
"TMEM269"	3	2	1	5
"SVBP"	392	319	394	743
"ERMAP"	79	58	62	166
"AL512353.1"	21	14	33	20
"ZNF691"	67	27	22	102
"SLC2A1"	5978	3440	5331	8028
"SLC2A1-AS1"	269	161	221	255
"AC099795.1"	0	0	0	0
"FAM183A"	34	34	23	33
"EBNA1BP2"	972	516	534	1114
"CFAP57"	1	1	1	2
"TMEM125"	24	4	19	52
"C1orf210"	100	32	66	147
"TIE1"	0	0	2	4
"AL139289.3"	2	1	0	0
"AL139289.2"	17	16	26	36
"CDC20"	222	127	123	202
"ELOVL1"	560	200	221	748
"MED8"	422	257	242	566
"SZT2"	108	60	85	198
"HYI"	291	236	244	504
"PTPRF"	564	404	556	1783
"KDM4A"	190	81	97	405
"KDM4A-AS1"	41	46	41	85
"ST3GAL3"	59	59	62	118
"AL451062.1"	11	13	49	29
"ARTN"	166	86	79	116
"AL357079.1"	16	12	5	18
"IPO13"	71	50	56	211
"AL357079.2"	9	0	2	11
"DPH2"	117	59	81	223
"ATP6V0B"	4220	2064	2427	6050
"B4GALT2"	322	166	262	826
"CCDC24"	53	34	51	161
"SLC6A9"	60	68	61	162
"AL139220.2"	46	16	27	37
"DMAP1"	284	194	202	548
"ERI3"	473	289	360	971
"RNF220"	241	139	184	532
"TMEM53"	103	75	68	222
"ARMH1"	21	15	10	32
"KIF2C"	98	25	54	77
"RPS8"	43979	38985	58070	101390
"BEST4"	1	3	2	3
"PLK3"	1963	983	891	2132
"TCTEX1D4"	0	1	2	1
"BTBD19"	8	10	32	45
"PTCH2"	22	19	9	98
"EIF2B3"	429	205	160	604
"HECTD3"	100	42	67	177
"UROD"	578	359	415	1065
"ZSWIM5"	12	14	15	38
"LINC01144"	8	6	4	10
"HPDL"	24	5	13	20
"MUTYH"	147	50	68	187
"TOE1"	119	49	71	166
"TESK2"	88	80	90	200
"CCDC163"	14	39	17	37
"MMACHC"	52	23	28	82
"PRDX1"	22436	12272	15974	35197
"AKR1A1"	1347	743	858	2394
"NASP"	1608	1069	1410	3148
"CCDC17"	8	15	11	35
"GPBP1L1"	944	561	643	1359
"TMEM69"	205	100	174	297
"IPP"	164	90	102	244
"AL604028.1"	15	7	16	35
"MAST2"	44	26	31	117
"PIK3R3"	47	9	27	66
"AL358075.2"	4	0	2	12
"TSPAN1"	2604	1162	2089	6236
"POMGNT1"	362	188	198	503
"LURAP1"	82	27	19	59
"RAD54L"	19	9	12	22
"LRRC41"	531	296	365	742
"UQCRH"	4912	4811	4946	9405
"NSUN4"	228	117	105	275
"FAAH"	120	54	64	247
"TMEM275"	0	0	0	0
"MKNK1"	289	152	208	560
"MOB3C"	96	86	88	198
"ATPAF1"	368	223	249	674
"TEX38"	1	0	0	1
"EFCAB14"	783	450	597	1450
"CYP4B1"	5	4	1	7
"CYP4X1"	18	50	37	35
"CYP4Z1"	0	0	0	1
"CYP4A22-AS1"	3	0	3	4
"LINC00853"	6	4	2	11
"PDZK1IP1"	20	15	16	90
"TAL1"	0	1	0	0
"AL135960.1"	0	0	0	0
"STIL"	53	21	37	64
"CMPK1"	1214	891	962	1914
"LINC01389"	0	0	0	0
"FOXE3"	0	2	1	1
"FOXD2-AS1"	1	0	2	1
"FOXD2"	0	1	0	1
"TRABD2B"	0	0	2	1
"SLC5A9"	0	0	0	0
"AL109659.2"	0	0	0	4
"SPATA6"	195	187	167	368
"AGBL4"	6	3	2	3
"BEND5"	600	314	288	940
"ELAVL4"	0	0	0	0
"DMRTA2"	1038	468	938	2787
"AL049637.2"	260	131	333	672
"FAF1"	1018	571	647	1594
"AL049637.1"	2	0	0	0
"CDKN2C"	163	159	143	349
"LINC01562"	2	2	2	1
"RNF11"	1020	819	1090	1517
"AL162430.2"	3	2	7	2
"TTC39A"	15	4	8	22
"TTC39A-AS1"	2	0	4	2
"EPS15"	396	252	358	697
"AC104170.2"	0	1	0	0
"AC104170.1"	2	0	2	1
"OSBPL9"	539	347	429	763
"NRDC"	869	429	460	1277
"AL050343.2"	17	11	15	14
"AL050343.3"	3	1	1	5
"RAB3B"	4	5	5	5
"TXNDC12"	858	544	631	1453
"KTI12"	138	63	67	109
"BTF3L4"	1959	1225	1751	3287
"ZFYVE9"	160	66	88	229
"CC2D1B"	103	39	49	142
"AL513218.1"	1	0	1	2
"AL513218.2"	10	7	9	8
"ORC1"	21	7	8	31
"PRPF38A"	804	501	531	940
"TUT4"	1557	904	923	2134
"GPX7"	116	59	62	202
"SHISAL2A"	46	6	25	43
"COA7"	292	122	89	233
"ZYG11B"	268	148	173	464
